Scenario,TicketName,TicketSummary,TicketDescription
create ticket,Ticket001,Account locked,I tried to sign in too many times and my account is locked. Please unlock it and tell me what verification you need.
create ticket,Ticket002,Account setup,I started onboarding but the setup does not finish after I save my profile. Please complete the setup and activate my account.
create ticket,Ticket003,Form addition,I need a new form added to my profile for required data. Please add the form and confirm when it is available.
create ticket,Ticket004,Login issues,I cannot log in even with correct credentials and the page loops back to sign in. Please restore access.
create ticket,Ticket005,Password reset,My reset link fails after I submit a new password. Please send a working link or reset it for me.
create ticket,Ticket006,Account locked,My account was disabled after several failed attempts. Please unlock it and advise next steps.
create ticket,Ticket007,Account setup,The onboarding flow returns me to the start after profile details. Please fix setup and enable my account.
create ticket,Ticket008,Form addition,Please add a form for extra compliance fields in my profile. Let me know once it is ready.
create ticket,Ticket009,Login issues,MFA is prompted but no code arrives and I cannot sign in. Please resolve the login issue.
create ticket,Ticket010,Password reset,The password reset page shows an error after I enter a new password. Please help reset it.
create ticket,Ticket011,Account locked,I was locked out after trying a new device. Please unlock my account and confirm any checks.
create ticket,Ticket012,Account setup,My account setup freezes after profile creation and features stay disabled. Please complete onboarding.
create ticket,Ticket013,Form addition,I need a new profile form for additional fields we must capture. Please add it.
create ticket,Ticket014,Login issues,Login keeps failing and sends me back to the sign in screen. Please investigate and restore access.
create ticket,Ticket015,Password reset,The reset email link is expired and retry gives the same error. Please issue a valid link.
create ticket,Ticket016,Account locked,I hit the security limit while trying passwords and now access is blocked. Please unlock my account.
create ticket,Ticket017,Account setup,The onboarding checklist will not finish and I cannot enable features. Please finalize setup.
create ticket,Ticket018,Form addition,Please add a form to my profile for new workflow data. Confirm when available.
create ticket,Ticket019,Login issues,My credentials are correct but login never completes. Please fix the sign in issue.
create ticket,Ticket020,Password reset,Reset fails every time after I submit a new password. Please reset it on your side.
create ticket,Ticket021,Account locked,My account shows locked after repeated sign in attempts. Please unlock and advise verification steps.
create ticket,Ticket022,Account setup,Onboarding loops after I submit profile details. Please fix setup and activate my account.
create ticket,Ticket023,Form addition,I need an extra form added to capture required profile data. Please add it and confirm.
create ticket,Ticket024,Login issues,I cannot log in and the MFA code never arrives. Please fix MFA delivery.
create ticket,Ticket025,Password reset,The reset link opens but the password update fails. Please provide a working reset.
create ticket,Ticket026,Account locked,Access is disabled after too many login attempts. Please unlock my account so I can continue.
create ticket,Ticket027,Account setup,The setup page will not save my profile and restarts. Please help complete onboarding.
create ticket,Ticket028,Form addition,Please add a new form to my profile for required fields. Let me know when it is live.
